PORT,LATITUD,LONGITUD
A Órdenes,0,0
AGUILAS,37.403782,-1.58128
AJACCIO,41.918621,8.73687
ALCANAR,40.544842,4.8119
ALCUDIA,39.852322,31.2203
ALGECIRAS,36.129822,-5.44776
ALGER,40.557953,8319295
ALGHERO,40.557953,8319295
ALICANTE,38.345997,-0.490686
ALMERIA,36.834045,-2.463714
ALTA MAR (EXTRANJEROS),0,0
AMSTERDAM,52.370216,4895168
ANTIBES,43.580719,7120870
ANTIGUA,170.74656,-61.81752
ANTWERPEN,51.219448,4.402464
ARRECIFE DE LANZAROTE,29.01519,-13.61478
AUGUSTA,33.473499,-82.010513
AVILES,43.555698,-5.92764
BARCELONA,41.385063,2.177567
BILBAO,43.263012,-2.934985
CADIZ,36.865379,-87.83567
CAGLIARI,39.223843,9.121661
CANNES,43.552849,7.017369
CARTAGENA,10.391049,-75.479424
CASTELLON,39.07954,-0.51416
CATANIA,37.507877,15.08303
CEUTA,35.889385,-5.321345
CHARLOTTE AMELIE. ST THOM,183.2431,-64941610
CIVIATAVECCHIA,42.09118,11796810
DENIA,38.840401,108640
DIEPPE,46.07373,-64702118
DUBAI,25.204849,55270782
FORT LAUDERDALE,26.122438,-80137314
FOS-SUR-MER,43.43764,4943890
GANDIA,38.969021,-185160
GARRUCHA,37.17925,-1821900
GENOA,44.405651,8946256
GIBRALTAR,36.140751,-5.353585
GOTHENBURG,57.70887,11.97456
GULLUK (MUGLA),36.642792,33.443371
HAYDARPASA (ISTANBUL),35.177231,33.366428
HUELVA,37.25715,-6.94954
IBIZA,39.020012,1.482148
IMMIGHAM,53.61561,-0.21114
KRISTIANSUND,63.110336,7.728079
LA LUZ Y LAS PALMAS,8.13489,-81.454803
LA SPEZIA,44.106701,9.82926
LE MARIN,14.47093,-60.87113
LEIXOES,41.18921,-8.67892
LISBOA,38.722252,-9.139337
LIVORNO,43.551891,10.30784
LORIENT,47.747662,-3.36472
MALAGA,36.721275,-4.421399
MALTA (VALETTA),35.897611,14.511855
MALTA FREEPORT DISTRIPARK,35.897611,14.511855
MARSEILLE,43.296482,5.36978
MAÓ,39.88962,4.26424
MELILLA,35.292278,-2.938097
MESSINA,38.193813,15.554015
MONACO,43.738419,7.424616
MONTEGO BAY,18.476223,-77.89389
MOTRIL,36.744659,-3.51667
NAPOLI,40.839981,14.25254
NEWPORT,41.490101,-71.312828
NICE,43.710175,7.261953
OLBIA (TERRANOVA),40.922508,9.48685
ORAN,35.69875,-0.63156
PALAMOS,41.84676,3.12864
PALERMO,38.115688,13.361267
PALMA DE MALLORCA,39.56945,2.64995
PIOMBINO,42.92585,10.52543
POLE,0,0
PORT EVERGLADES,26.87649,-82.229942
PORT SAYD,30.79518,31.01429
PORTIMAO,37.13763,-8.5344
PORTO MARGHERA,45.46199,12.217167
PORTOFINO,44.303959,9.20777
PORTSMOUTH,43.071754,-70.76255
PROPRIANO,41.67503,8.90433
RADES/TUNIS,36.774601,10.27565
ROSAS,0,0
ROTTERDAM,51.924419,4.477733
SAGUNTO,39.680141,-0.27828
SAN PEDRO DEL PINATAR,37.835041,-0.79159
SANARY-SUR-MER,43121,5.80458
SANTA POLA,38.19236,-0.55518
SARROCH (PORTO FOXI),39.06828,9.01599
SAVONA,44.311069,8.47725
SETE,0,0
SEVILLA,37.389091,-5.984459
SINGAPORE,1.352083,103.819839
SKIKDA (EX PHILIPPEVILLE),36.867512,6.90101
SORRENTO,40.62632,14.37574
SOUTHAMPTON,50.909698,-1.404351
ST JOHNS,47.562672,-52.710892
ST TROPEZ,43.27018,6.64099
Santa Cruz de Tenerife,28.469801,-16.254841
TARRAGONA,41.11866,1.24533
TORTOLA,18.43347,-64.633278
TRAPANI,38.018589,12.51463
VALÈNCIA,39.4697495,-0.37739
VIBO VALENTIA,38.675549,16.09775
VIGO,42.240601,-8.720727
